symbol,Date,quote_time,ask_price,norm_ask_price,ask_size,bid_price,norm_bid_price,bid_size,last_trade_price,norm_last_trade_price,last_trade_size,mark_price,norm_mark_price,volume,Volume
IWM190913C160,2019-09-12,2019-09-12 09:46:48,0.05,1.0,1294,0.04,0.8,26,0.04,0.8,2,0.045,0.9,2096,2096
IWM190913C160,2019-09-12,2019-09-12 09:46:49,0.05,1.0,696,0.03,0.6,1049,0.04,0.8,2,0.04,0.8,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:50,0.05,1.0,1305,0.03,0.6,1781,0.04,0.8,2,0.04,0.8,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:51,0.05,1.0,1256,0.04,0.8,32,0.04,0.8,2,0.045,0.9,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:51,0.04,0.8,18,0.03,0.6,1781,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:52,0.04,0.8,98,0.03,0.6,1711,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:52,0.04,0.8,98,0.03,0.6,1201,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:53,0.04,0.8,98,0.03,0.6,1711,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:54,0.04,0.8,98,0.03,0.6,1481,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:54,0.05,1.0,1375,0.03,0.6,1781,0.04,0.8,2,0.04,0.8,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:55,0.04,0.8,98,0.03,0.6,1481,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:56,0.04,0.8,98,0.03,0.6,1640,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:56,0.04,0.8,98,0.03,0.6,1481,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:57,0.04,0.8,98,0.03,0.6,456,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:57,0.04,0.8,155,0.03,0.6,1956,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:58,0.04,0.8,97,0.03,0.6,1956,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:46:59,0.04,0.8,97,0.03,0.6,1171,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:00,0.04,0.8,182,0.03,0.6,1171,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:01,0.04,0.8,160,0.03,0.6,1386,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:02,0.04,0.8,80,0.03,0.6,583,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:03,0.04,0.8,182,0.03,0.6,846,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:03,0.04,0.8,182,0.03,0.6,1134,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:04,0.04,0.8,182,0.03,0.6,1134,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:05,0.04,0.8,182,0.03,0.6,1688,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:05,0.04,0.8,182,0.03,0.6,1725,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:06,0.04,0.8,613,0.03,0.6,1266,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:06,0.04,0.8,613,0.03,0.6,966,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:07,0.04,0.8,570,0.03,0.6,1266,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:08,0.04,0.8,570,0.03,0.6,1266,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:09,0.04,0.8,570,0.03,0.6,1425,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:10,0.04,0.8,570,0.03,0.6,1416,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:10,0.04,0.8,570,0.03,0.6,1425,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:11,0.04,0.8,332,0.03,0.6,1416,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:11,0.04,0.8,307,0.03,0.6,1716,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:12,0.04,0.8,307,0.03,0.6,1416,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:13,0.04,0.8,307,0.03,0.6,1416,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:14,0.04,0.8,307,0.03,0.6,1416,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:15,0.04,0.8,307,0.03,0.6,1416,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:16,0.04,0.8,307,0.03,0.6,1416,0.04,0.8,2,0.035,0.7,2096,0
IWM190913C160,2019-09-12,2019-09-12 09:47:16,0.04,0.8,307,0.03,0.6,537,0.03,0.6,1,0.035,0.7,2097,1
IWM190913C160,2019-09-12,2019-09-12 09:47:17,0.04,0.8,123,0.03,0.6,1321,0.03,0.6,1,0.035,0.7,2097,0
IWM190913C160,2019-09-12,2019-09-12 09:47:17,0.04,0.8,123,0.03,0.6,1621,0.03,0.6,1,0.035,0.7,2097,0
IWM190913C160,2019-09-12,2019-09-12 09:47:18,0.04,0.8,123,0.03,0.6,1321,0.03,0.6,1,0.035,0.7,2097,0
IWM190913C160,2019-09-12,2019-09-12 09:47:19,0.04,0.8,123,0.03,0.6,1391,0.03,0.6,1,0.035,0.7,2097,0
IWM190913C160,2019-09-12,2019-09-12 09:47:20,0.04,0.8,245,0.03,0.6,1538,0.03,0.6,1,0.035,0.7,2097,0
IWM190913C160,2019-09-12,2019-09-12 09:47:20,0.04,0.8,123,0.03,0.6,1391,0.03,0.6,1,0.035,0.7,2097,0
IWM190913C160,2019-09-12,2019-09-12 09:47:21,0.04,0.8,292,0.03,0.6,1538,0.03,0.6,1,0.035,0.7,2097,0
IWM190913C160,2019-09-12,2019-09-12 09:47:22,0.04,0.8,292,0.03,0.6,1538,0.03,0.6,1,0.035,0.7,2097,0
IWM190913C160,2019-09-12,2019-09-12 09:47:22,0.04,0.8,292,0.03,0.6,1048,0.03,0.6,1,0.035,0.7,2097,0
IWM190913C160,2019-09-12,2019-09-12 09:47:23,0.04,0.8,182,0.03,0.6,1171,0.03,0.6,1,0.035,0.7,2097,0
IWM190913C160,2019-09-12,2019-09-12 09:47:23,0.04,0.8,123,0.03,0.6,618,0.03,0.6,1,0.035,0.7,2097,0
IWM190913C160,2019-09-12,2019-09-12 09:47:24,0.04,0.8,182,0.03,0.6,1171,0.04,0.8,10,0.035,0.7,2107,0
IWM190913C160,2019-09-12,2019-09-12 09:47:24,0.04,0.8,182,0.03,0.6,1171,0.04,0.8,10,0.035,0.7,2107,10
IWM190913C160,2019-09-12,2019-09-12 09:47:25,0.04,0.8,1249,0.03,0.6,1278,0.04,0.8,10,0.035,0.7,2107,0
