symbol,Date,quote_time,ask_price,norm_ask_price,ask_size,bid_price,norm_bid_price,bid_size,last_trade_price,norm_last_trade_price,last_trade_size,mark_price,norm_mark_price,volume,Volume
SPY190712P298,2019-07-11,2019-07-11 09:30:00,0.61,1.0,31,0.6,0.9836,21,0.57,0.9344,25,0.605,0.9918,43579,43579
SPY190712P298,2019-07-11,2019-07-11 09:30:05,0.36,0.5901,378,0.35,0.5737,2,0.35,0.5737,2,0.355,0.5819,9,-43570
SPY190712P298,2019-07-11,2019-07-11 09:30:06,0.34,0.5573,267,0.32,0.5245,300,0.35,0.5737,2,0.33,0.5409,9,0
SPY190712P298,2019-07-11,2019-07-11 09:30:07,0.34,0.5573,267,0.32,0.5245,300,0.35,0.5737,2,0.33,0.5409,9,0
SPY190712P298,2019-07-11,2019-07-11 09:30:08,0.34,0.5573,267,0.33,0.5409,5,0.35,0.5737,2,0.335,0.5491,9,0
SPY190712P298,2019-07-11,2019-07-11 09:30:08,0.34,0.5573,267,0.32,0.5245,300,0.35,0.5737,2,0.33,0.5409,9,0
SPY190712P298,2019-07-11,2019-07-11 09:30:09,0.34,0.5573,267,0.33,0.5409,5,0.35,0.5737,2,0.335,0.5491,9,0
SPY190712P298,2019-07-11,2019-07-11 09:30:09,0.34,0.5573,267,0.33,0.5409,5,0.33,0.5409,5,0.335,0.5491,14,5
SPY190712P298,2019-07-11,2019-07-11 09:30:10,0.34,0.5573,267,0.33,0.5409,5,0.33,0.5409,5,0.335,0.5491,14,0
SPY190712P298,2019-07-11,2019-07-11 09:30:11,0.34,0.5573,267,0.33,0.5409,5,0.33,0.5409,5,0.335,0.5491,14,0
SPY190712P298,2019-07-11,2019-07-11 09:30:11,0.34,0.5573,372,0.33,0.5409,5,0.33,0.5409,5,0.335,0.5491,14,0
SPY190712P298,2019-07-11,2019-07-11 09:30:12,0.34,0.5573,372,0.33,0.5409,5,0.33,0.5409,5,0.335,0.5491,14,0
SPY190712P298,2019-07-11,2019-07-11 09:30:13,0.34,0.5573,372,0.33,0.5409,5,0.33,0.5409,5,0.335,0.5491,14,0
SPY190712P298,2019-07-11,2019-07-11 09:30:14,0.34,0.5573,372,0.33,0.5409,5,0.33,0.5409,5,0.335,0.5491,14,0
SPY190712P298,2019-07-11,2019-07-11 09:30:15,0.34,0.5573,372,0.33,0.5409,5,0.33,0.5409,5,0.335,0.5491,14,0
SPY190712P298,2019-07-11,2019-07-11 09:30:16,0.34,0.5573,372,0.33,0.5409,5,0.35,0.5737,1,0.335,0.5491,15,1
SPY190712P298,2019-07-11,2019-07-11 09:30:16,0.34,0.5573,372,0.33,0.5409,5,0.35,0.5737,1,0.335,0.5491,15,0
SPY190712P298,2019-07-11,2019-07-11 09:30:17,0.34,0.5573,372,0.33,0.5409,5,0.36,0.5901,30,0.335,0.5491,45,0
SPY190712P298,2019-07-11,2019-07-11 09:30:17,0.34,0.5573,372,0.33,0.5409,5,0.36,0.5901,30,0.335,0.5491,45,30
SPY190712P298,2019-07-11,2019-07-11 09:30:18,0.34,0.5573,372,0.33,0.5409,5,0.36,0.5901,30,0.335,0.5491,45,0
SPY190712P298,2019-07-11,2019-07-11 09:30:19,0.34,0.5573,372,0.33,0.5409,5,0.36,0.5901,30,0.335,0.5491,45,0
SPY190712P298,2019-07-11,2019-07-11 09:30:19,0.34,0.5573,372,0.33,0.5409,5,0.36,0.5901,1,0.335,0.5491,46,1
SPY190712P298,2019-07-11,2019-07-11 09:30:20,0.34,0.5573,372,0.33,0.5409,5,0.36,0.5901,1,0.335,0.5491,46,0
SPY190712P298,2019-07-11,2019-07-11 09:30:21,0.34,0.5573,372,0.33,0.5409,5,0.36,0.5901,1,0.335,0.5491,46,0
