symbol,Date,quote_time,ask_price,norm_ask_price,ask_size,bid_price,norm_bid_price,bid_size,last_trade_price,norm_last_trade_price,last_trade_size,mark_price,norm_mark_price,volume,Volume
SPY190520P282,2019-05-17,2019-05-17 09:33:51,0.43,1.0,51,0.42,0.9767,100,0.43,1.0,10,0.425,0.9883,357,357
SPY190520P282,2019-05-17,2019-05-17 09:34:06,0.43,1.0,173,0.42,0.9767,141,0.43,1.0,2,0.425,0.9883,359,2
SPY190520P282,2019-05-17,2019-05-17 09:34:09,0.43,1.0,109,0.42,0.9767,184,0.43,1.0,2,0.425,0.9883,359,0
SPY190520P282,2019-05-17,2019-05-17 09:34:09,0.43,1.0,120,0.42,0.9767,25,0.43,1.0,2,0.425,0.9883,359,0
SPY190520P282,2019-05-17,2019-05-17 09:34:10,0.43,1.0,7,0.42,0.9767,100,0.43,1.0,2,0.425,0.9883,359,0
SPY190520P282,2019-05-17,2019-05-17 09:34:11,0.43,1.0,7,0.42,0.9767,189,0.43,1.0,2,0.425,0.9883,359,0
SPY190520P282,2019-05-17,2019-05-17 09:34:12,0.44,1.0232,2,0.43,1.0,1,0.43,1.0,5,0.435,1.0116,364,5
SPY190520P282,2019-05-17,2019-05-17 09:34:13,0.44,1.0232,2,0.43,1.0,1139,0.43,1.0,5,0.435,1.0116,364,0
SPY190520P282,2019-05-17,2019-05-17 09:34:14,0.44,1.0232,2,0.43,1.0,1638,0.43,1.0,5,0.435,1.0116,364,0
SPY190520P282,2019-05-17,2019-05-17 09:34:15,0.44,1.0232,2,0.43,1.0,2016,0.43,1.0,5,0.435,1.0116,364,0
SPY190520P282,2019-05-17,2019-05-17 09:34:16,0.44,1.0232,2,0.43,1.0,1652,0.43,1.0,5,0.435,1.0116,364,0
SPY190520P282,2019-05-17,2019-05-17 09:34:17,0.46,1.0697,996,0.44,1.0232,163,0.44,1.0232,2,0.45,1.0465,366,2
SPY190520P282,2019-05-17,2019-05-17 09:34:18,0.46,1.0697,1173,0.44,1.0232,193,0.44,1.0232,2,0.45,1.0465,366,0
SPY190520P282,2019-05-17,2019-05-17 09:34:19,0.45,1.0465,76,0.44,1.0232,85,0.44,1.0232,2,0.445,1.0348,366,0
SPY190520P282,2019-05-17,2019-05-17 09:34:20,0.45,1.0465,515,0.44,1.0232,77,0.44,1.0232,7,0.445,1.0348,373,7
SPY190520P282,2019-05-17,2019-05-17 09:34:21,0.45,1.0465,456,0.44,1.0232,95,0.44,1.0232,7,0.445,1.0348,373,0
SPY190520P282,2019-05-17,2019-05-17 09:34:22,0.45,1.0465,76,0.44,1.0232,178,0.44,1.0232,7,0.445,1.0348,373,0
SPY190520P282,2019-05-17,2019-05-17 09:34:23,0.45,1.0465,64,0.44,1.0232,108,0.44,1.0232,7,0.445,1.0348,373,0
SPY190520P282,2019-05-17,2019-05-17 09:34:24,0.45,1.0465,699,0.44,1.0232,108,0.44,1.0232,7,0.445,1.0348,373,0
SPY190520P282,2019-05-17,2019-05-17 09:34:25,0.45,1.0465,1372,0.44,1.0232,65,0.44,1.0232,7,0.445,1.0348,373,0
SPY190520P282,2019-05-17,2019-05-17 09:34:26,0.45,1.0465,1089,0.44,1.0232,65,0.44,1.0232,7,0.445,1.0348,373,0
SPY190520P282,2019-05-17,2019-05-17 09:34:26,0.45,1.0465,1113,0.44,1.0232,77,0.44,1.0232,7,0.445,1.0348,373,0
SPY190520P282,2019-05-17,2019-05-17 09:34:28,0.45,1.0465,699,0.44,1.0232,98,0.44,1.0232,7,0.445,1.0348,373,0
SPY190520P282,2019-05-17,2019-05-17 09:34:29,0.45,1.0465,110,0.44,1.0232,154,0.44,1.0232,7,0.445,1.0348,373,0
SPY190520P282,2019-05-17,2019-05-17 09:34:30,0.46,1.0697,2020,0.44,1.0232,189,0.44,1.0232,7,0.45,1.0465,373,0
SPY190520P282,2019-05-17,2019-05-17 09:34:31,0.46,1.0697,1916,0.44,1.0232,189,0.44,1.0232,7,0.45,1.0465,373,0
SPY190520P282,2019-05-17,2019-05-17 09:34:32,0.46,1.0697,1642,0.44,1.0232,189,0.44,1.0232,7,0.45,1.0465,373,0
SPY190520P282,2019-05-17,2019-05-17 09:34:33,0.46,1.0697,1016,0.44,1.0232,613,0.44,1.0232,1,0.45,1.0465,374,1
SPY190520P282,2019-05-17,2019-05-17 09:34:34,0.46,1.0697,3,0.45,1.0465,761,0.45,1.0465,1,0.455,1.0581,375,1
SPY190520P282,2019-05-17,2019-05-17 09:34:35,0.46,1.0697,3,0.45,1.0465,1401,0.45,1.0465,1,0.455,1.0581,375,0
SPY190520P282,2019-05-17,2019-05-17 09:34:36,0.46,1.0697,3,0.45,1.0465,2259,0.45,1.0465,1,0.455,1.0581,375,0
