symbol,Date,quote_time,ask_price,norm_ask_price,ask_size,bid_price,norm_bid_price,bid_size,last_trade_price,norm_last_trade_price,last_trade_size,mark_price,norm_mark_price,volume,Volume
SPY190722P297,2019-07-19,2019-07-19 09:30:00,0.19,1.0,600,0.17,0.8947,732,0.17,0.8947,1,0.18,0.9473,1,1
SPY190722P297,2019-07-19,2019-07-19 09:30:08,0.19,1.0,221,0.17,0.8947,432,0.17,0.8947,1,0.18,0.9473,1,0
SPY190722P297,2019-07-19,2019-07-19 09:30:09,0.2,1.0526,681,0.17,0.8947,432,0.2,1.0526,1,0.185,0.9736,2,1
SPY190722P297,2019-07-19,2019-07-19 09:30:09,0.2,1.0526,681,0.17,0.8947,432,0.17,0.8947,1,0.185,0.9736,1,0
SPY190722P297,2019-07-19,2019-07-19 09:30:10,0.18,0.9473,240,0.17,0.8947,852,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:11,0.18,0.9473,240,0.17,0.8947,852,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:12,0.18,0.9473,240,0.17,0.8947,852,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:13,0.18,0.9473,240,0.17,0.8947,852,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:14,0.18,0.9473,240,0.17,0.8947,852,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:15,0.18,0.9473,240,0.17,0.8947,852,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:16,0.18,0.9473,240,0.17,0.8947,852,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:17,0.18,0.9473,240,0.17,0.8947,852,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:18,0.18,0.9473,100,0.17,0.8947,432,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:18,0.18,0.9473,240,0.17,0.8947,852,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:19,0.18,0.9473,100,0.17,0.8947,432,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:20,0.18,0.9473,100,0.17,0.8947,432,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:21,0.18,0.9473,100,0.17,0.8947,432,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:22,0.18,0.9473,100,0.17,0.8947,432,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:23,0.18,0.9473,5,0.17,0.8947,437,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:23,0.18,0.9473,100,0.17,0.8947,432,0.2,1.0526,1,0.175,0.921,2,0
SPY190722P297,2019-07-19,2019-07-19 09:30:24,0.18,0.9473,5,0.17,0.8947,510,0.19,1.0,4,0.175,0.921,6,4
SPY190722P297,2019-07-19,2019-07-19 09:30:25,0.18,0.9473,5,0.17,0.8947,510,0.19,1.0,4,0.175,0.921,6,0
SPY190722P297,2019-07-19,2019-07-19 09:30:25,0.19,1.0,1029,0.18,0.9473,302,0.19,1.0,4,0.185,0.9736,6,0
SPY190722P297,2019-07-19,2019-07-19 09:30:26,0.19,1.0,240,0.18,0.9473,485,0.19,1.0,4,0.185,0.9736,6,0
SPY190722P297,2019-07-19,2019-07-19 09:30:26,0.19,1.0,1029,0.18,0.9473,386,0.19,1.0,4,0.185,0.9736,6,0
SPY190722P297,2019-07-19,2019-07-19 09:30:27,0.2,1.0526,360,0.18,0.9473,700,0.19,1.0,4,0.19,1.0,6,0
SPY190722P297,2019-07-19,2019-07-19 09:30:28,0.19,1.0,598,0.18,0.9473,2348,0.19,1.0,4,0.185,0.9736,6,0
SPY190722P297,2019-07-19,2019-07-19 09:30:28,0.2,1.0526,2391,0.19,1.0,373,0.19,1.0,4,0.195,1.0263,6,0
SPY190722P297,2019-07-19,2019-07-19 09:30:29,0.19,1.0,2377,0.18,0.9473,3507,0.19,1.0,4,0.185,0.9736,6,0
SPY190722P297,2019-07-19,2019-07-19 09:30:29,0.19,1.0,1988,0.18,0.9473,1440,0.19,1.0,4,0.185,0.9736,6,0
SPY190722P297,2019-07-19,2019-07-19 09:30:30,0.19,1.0,1941,0.18,0.9473,1059,0.19,1.0,4,0.185,0.9736,6,0
SPY190722P297,2019-07-19,2019-07-19 09:30:30,0.19,1.0,1520,0.18,0.9473,1289,0.19,1.0,4,0.185,0.9736,6,0
SPY190722P297,2019-07-19,2019-07-19 09:30:31,0.19,1.0,3061,0.18,0.9473,1847,0.18,0.9473,1,0.185,0.9736,7,1
SPY190722P297,2019-07-19,2019-07-19 09:30:31,0.19,1.0,1405,0.18,0.9473,1120,0.18,0.9473,1,0.185,0.9736,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:32,0.19,1.0,1405,0.18,0.9473,893,0.18,0.9473,1,0.185,0.9736,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:33,0.19,1.0,1405,0.18,0.9473,985,0.18,0.9473,1,0.185,0.9736,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:34,0.18,0.9473,244,0.17,0.8947,2412,0.18,0.9473,1,0.175,0.921,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:34,0.19,1.0,1658,0.17,0.8947,1321,0.18,0.9473,1,0.18,0.9473,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:35,0.18,0.9473,158,0.17,0.8947,2540,0.18,0.9473,1,0.175,0.921,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:35,0.18,0.9473,5,0.17,0.8947,2667,0.18,0.9473,1,0.175,0.921,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:36,0.19,1.0,2654,0.18,0.9473,656,0.18,0.9473,1,0.185,0.9736,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:37,0.19,1.0,2490,0.18,0.9473,427,0.18,0.9473,1,0.185,0.9736,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:37,0.19,1.0,3248,0.18,0.9473,751,0.18,0.9473,1,0.185,0.9736,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:38,0.19,1.0,3198,0.18,0.9473,994,0.18,0.9473,1,0.185,0.9736,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:38,0.19,1.0,3412,0.18,0.9473,766,0.18,0.9473,1,0.185,0.9736,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:39,0.19,1.0,3413,0.18,0.9473,858,0.18,0.9473,1,0.185,0.9736,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:39,0.19,1.0,3412,0.18,0.9473,766,0.18,0.9473,1,0.185,0.9736,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:40,0.19,1.0,2943,0.18,0.9473,859,0.18,0.9473,1,0.185,0.9736,7,0
SPY190722P297,2019-07-19,2019-07-19 09:30:40,0.19,1.0,3583,0.18,0.9473,858,0.18,0.9473,1,0.185,0.9736,7,0
